S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
24.94,24.75,24.56,25.38,121.0,34.0,53.0,40.0,0.08,0.19,0.06,0.06,390.0,0.769230769,0.0,0.0,1.0
24.94,24.75,24.56,25.44,121.0,33.0,53.0,40.0,0.93,0.05,0.06,0.06,390.0,0.646153846,0.0,0.0,1.0
25.0,24.75,24.5,25.44,121.0,34.0,53.0,40.0,0.43,0.11,0.08,0.06,390.0,0.519230769,0.0,0.0,1.0
25.0,24.75,24.56,25.44,121.0,34.0,53.0,40.0,0.41,0.1,0.1,0.09,390.0,0.388461538,0.0,0.0,1.0
25.0,24.75,24.56,25.44,121.0,34.0,54.0,40.0,0.18,0.06,0.06,0.06,390.0,0.253846154,0.0,0.0,1.0
25.0,24.81,24.56,25.44,121.0,34.0,54.0,40.0,0.13,0.06,0.06,0.07,390.0,0.165384615,0.0,0.0,1.0
25.0,24.75,24.56,25.44,120.0,34.0,54.0,40.0,1.39,0.32,0.43,0.06,390.0,0.076923077,1.0,0.0,1.0
25.0,24.81,24.56,25.44,121.0,34.0,54.0,41.0,0.09,0.06,0.09,0.05,390.0,-0.011538462,0.0,0.0,1.0
25.0,24.81,24.56,25.5,122.0,35.0,56.0,43.0,0.09,0.05,0.06,0.13,390.0,-0.1,0.0,0.0,1.0
25.0,24.81,24.56,25.5,101.0,34.0,57.0,43.0,3.84,0.64,0.48,0.39,390.0,-0.188461538,1.0,1.0,1.0
25.06,24.81,24.56,25.44,122.0,35.0,57.0,43.0,2.2,0.31,0.33,0.21,390.0,-0.276923077,1.0,1.0,1.0
25.06,24.81,24.56,25.5,123.0,35.0,57.0,44.0,0.42,0.13,0.14,0.09,390.0,-0.365384615,1.0,0.0,1.0
25.06,24.88,24.63,25.5,123.0,35.0,57.0,43.0,0.21,0.15,0.07,0.06,390.0,-0.453846154,1.0,0.0,1.0
25.06,24.81,24.63,25.56,123.0,35.0,57.0,44.0,1.66,0.21,0.12,0.09,390.0,-0.542307692,1.0,0.0,1.0
25.06,24.88,24.63,25.56,123.0,35.0,58.0,44.0,0.57,0.17,0.21,0.13,390.0,-0.630769231,1.0,0.0,1.0
25.06,24.88,24.63,25.56,123.0,35.0,58.0,44.0,0.14,0.17,0.15,0.06,390.0,-0.719230769,1.0,0.0,1.0
25.06,24.88,24.63,25.56,122.0,35.0,58.0,44.0,0.24,0.05,0.1,0.05,395.0,-0.711538462,0.0,0.0,1.0
25.06,24.81,24.63,25.56,122.0,35.0,57.0,44.0,0.25,0.07,0.07,0.05,395.0,-0.653846154,1.0,0.0,1.0
25.06,24.81,24.63,25.56,123.0,35.0,58.0,44.0,0.23,0.07,0.08,0.06,395.0,-0.542307692,1.0,0.0,1.0
25.06,24.88,24.63,25.5,123.0,35.0,58.0,45.0,0.13,0.06,0.06,0.06,395.0,-0.373076923,0.0,0.0,1.0
25.13,24.88,24.63,25.5,123.0,35.0,58.0,44.0,0.13,0.04,0.06,0.06,390.0,-0.238461538,0.0,0.0,1.0
25.06,24.88,24.63,25.56,123.0,35.0,57.0,44.0,0.15,0.05,0.06,0.06,395.0,-0.092307692,0.0,0.0,1.0
25.13,24.88,24.63,25.56,123.0,35.0,58.0,45.0,0.11,0.05,0.06,0.06,395.0,0.061538462,0.0,0.0,1.0
25.13,24.88,24.63,25.56,123.0,35.0,58.0,45.0,1.31,0.12,0.08,0.07,400.0,0.319230769,0.0,0.0,1.0
25.13,24.88,24.63,25.5,124.0,35.0,59.0,45.0,0.11,0.12,0.06,0.06,400.0,0.334615385,0.0,0.0,1.0
25.13,24.88,24.69,25.5,123.0,35.0,58.0,45.0,1.57,0.08,0.07,0.14,400.0,0.388461538,1.0,0.0,1.0
25.13,24.88,24.69,25.5,123.0,35.0,59.0,44.0,0.21,0.19,0.17,0.07,405.0,0.480769231,1.0,0.0,1.0
25.13,24.88,24.69,25.56,123.0,35.0,58.0,44.0,0.44,0.13,0.17,0.09,410.0,0.607692308,1.0,0.0,1.0
25.13,24.88,24.69,25.56,123.0,35.0,58.0,44.0,0.46,0.14,0.16,0.07,410.0,0.719230769,1.0,0.0,1.0
25.13,24.88,24.69,25.56,123.0,35.0,58.0,45.0,0.98,0.25,0.19,0.16,405.0,0.769230769,1.0,0.0,1.0
25.19,24.88,24.69,25.56,123.0,35.0,58.0,44.0,0.15,0.13,0.23,0.06,405.0,0.807692308,0.0,0.0,1.0
25.19,24.88,24.69,25.56,123.0,35.0,58.0,45.0,0.08,0.08,0.07,0.06,400.0,0.788461538,0.0,0.0,1.0
25.19,24.88,24.69,25.56,123.0,35.0,58.0,44.0,0.09,0.05,0.07,0.08,410.0,0.853846154,1.0,0.0,1.0
25.19,24.88,24.69,25.56,123.0,35.0,58.0,44.0,0.37,0.16,0.18,0.05,410.0,0.903846154,0.0,0.0,1.0
25.19,24.88,24.69,25.69,122.0,35.0,59.0,44.0,0.08,0.06,0.06,0.06,405.0,0.892307692,0.0,0.0,1.0
25.19,24.88,24.69,25.63,122.0,35.0,58.0,44.0,0.93,0.05,0.06,0.14,410.0,0.915384615,0.0,0.0,1.0
